date,code,price_in_PLN
2024-02-29,USD,3.9803
2024-02-29,EUR,4.319
2024-02-29,CHF,4.5332
2024-02-29,GBP,5.042
2024-02-29,JPY,0.02657
2024-03-01,USD,3.9922
2024-03-01,EUR,4.3176
2024-03-01,CHF,4.5099
2024-03-01,GBP,5.0413
2024-03-01,JPY,0.026502
2024-03-04,USD,3.982
2024-03-04,EUR,4.3201
2024-03-04,CHF,4.5119
2024-03-04,GBP,5.048
2024-03-04,JPY,0.026504
2024-03-05,USD,3.9838
2024-03-05,EUR,4.3228
2024-03-05,CHF,4.4971
2024-03-05,GBP,5.0535
2024-03-05,JPY,0.026484
2024-03-06,USD,3.963
2024-03-06,EUR,4.3106
2024-03-06,CHF,4.4806
2024-03-06,GBP,5.0452
2024-03-06,JPY,0.026484
2024-03-07,USD,3.9485
2024-03-07,EUR,4.3045
2024-03-07,CHF,4.4827
2024-03-07,GBP,5.0336
2024-03-07,JPY,0.026682
2024-03-08,USD,3.9392
2024-03-08,EUR,4.3079
2024-03-08,CHF,4.4942
2024-03-08,GBP,5.0536
2024-03-08,JPY,0.026775
2024-03-11,USD,3.9262
2024-03-11,EUR,4.2933
2024-03-11,CHF,4.4776
2024-03-11,GBP,5.0423
2024-03-11,JPY,0.02678
2024-03-12,USD,3.9162
2024-03-12,EUR,4.2804
2024-03-12,CHF,4.4697
2024-03-12,GBP,5.0084
2024-03-12,JPY,0.026563
2024-03-13,USD,3.9269
2024-03-13,EUR,4.2896
2024-03-13,CHF,4.4686
2024-03-13,GBP,5.0171
2024-03-13,JPY,0.026536
